linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"4,3",WHA,D,Rha,p,a,,,,,,,,
"4,2",YHA,D,Rha,p,a,,,,,,,,
4,4HA,D,Rha,p,a,,,,,,,,
"3,2",ZHA,D,Rha,p,a,,,,,,,,
3,3HA,D,Rha,p,a,,,,,,,,
2,2HA,D,Rha,p,a,,,,,,,,
1,1HA,D,Rha,p,a,,,,,,,,
0,0HA,D,Rha,p,a,,,,,,,,
"4,3,2",THB,D,Rha,p,b,,,,,,,,
"4,3",WHB,D,Rha,p,b,,,,,,,,
"4,2",YHB,D,Rha,p,b,,,,,,,,
4,4HB,D,Rha,p,b,,,,,,,,
"3,2",ZHB,D,Rha,p,b,,,,,,,,
3,3HB,D,Rha,p,b,,,,,,,,
2,2HB,D,Rha,p,b,,,,,,,,
1,1HB,D,Rha,p,b,,,,,,,,
0,0HB,D,Rha,p,b,,,,,,,,
"1,5,4,3",yJA,D,Tag,p,a,,,,,,,,
"1,5,4",vJA,D,Tag,p,a,,,,,,,,
"1,5,3",nJA,D,Tag,p,a,,,,,,,,
"1,5",uJA,D,Tag,p,a,,,,,,,,
"1,4,3",TJA,D,Tag,p,a,,,,,,,,
"1,4",YJA,D,Tag,p,a,,,,,,,,
"1,3",ZJA,D,Tag,p,a,,,,,,,,
1,1JA,D,Tag,p,a,,,,,,,,
"5,4,3",xJA,D,Tag,p,a,,,,,,,,
"5,4",sJA,D,Tag,p,a,,,,,,,,
"5,3",tJA,D,Tag,p,a,,,,,,,,
5,5JA,D,Tag,p,a,,,,,,,,
"4,3",WJA,D,Tag,p,a,,,,,,,,
4,4JA,D,Tag,p,a,,,,,,,,
3,3JA,D,Tag,p,a,,,,,,,,
2,2JA,D,Tag,p,a,,,,,,,,
0,0JA,D,Tag,p,a,,,,,,,,
"5,4,3,1",yJB,D,Tag,p,b,,,,,,,,
"5,4,3",xJB,D,Tag,p,b,,,,,,,,
"5,4,1",vJB,D,Tag,p,b,,,,,,,,
"5,4",sJB,D,Tag,p,b,,,,,,,,
"5,3,1",nJB,D,Tag,p,b,,,,,,,,
"5,3",tJB,D,Tag,p,b,,,,,,,,
"5,1",uJB,D,Tag,p,b,,,,,,,,
5,5JB,D,Tag,p,b,,,,,,,,
"4,3,1",TJB,D,Tag,p,b,,,,,,,,
"4,3",WJB,D,Tag,p,b,,,,,,,,
"4,1",YJB,D,Tag,p,b,,,,,,,,
4,4JB,D,Tag,p,b,,,,,,,,
"3,1",ZJB,D,Tag,p,b,,,,,,,,
3,3JB,D,Tag,p,b,,,,,,,,
1,1JB,D,Tag,p,b,,,,,,,,
2,2JB,D,Tag,p,b,,,,,,,,
0,0JB,D,Tag,p,b,,,,,,,,
"1,6,4,3",PJD,D,Tag,f,a,,,,,,,,
"1,6,4",RJD,D,Tag,f,a,,,,,,,,
"1,6,3",SJD,D,Tag,f,a,,,,,,,,
"1,6",XJD,D,Tag,f,a,,,,,,,,
"1,4,3",TJD,D,Tag,f,a,,,,,,,,
"1,4",YJD,D,Tag,f,a,,,,,,,,
"1,3",ZJD,D,Tag,f,a,,,,,,,,
1,1JD,D,Tag,f,a,,,,,,,,
"6,4,3",QJD,D,Tag,f,a,,,,,,,,
"6,4",UJD,D,Tag,f,a,,,,,,,,
"6,3",VJD,D,Tag,f,a,,,,,,,,
6,6JD,D,Tag,f,a,,,,,,,,
"4,3",WJD,D,Tag,f,a,,,,,,,,
4,4JD,D,Tag,f,a,,,,,,,,
3,3JD,D,Tag,f,a,,,,,,,,
2,2JD,D,Tag,f,a,,,,,,,,
0,0JD,D,Tag,f,a,,,,,,,,
"6,4,3,1",PJU,D,Tag,f,b,,,,,,,,
"6,4,3",QJU,D,Tag,f,b,,,,,,,,
"6,4,1",RJU,D,Tag,f,b,,,,,,,,
"6,4",UJU,D,Tag,f,b,,,,,,,,
"6,3,1",SJU,D,Tag,f,b,,,,,,,,
"6,3",VJU,D,Tag,f,b,,,,,,,,
"6,1",XJU,D,Tag,f,b,,,,,,,,
6,6JU,D,Tag,f,b,,,,,,,,
"4,3,1",TJU,D,Tag,f,b,,,,,,,,
"4,3",WJU,D,Tag,f,b,,,,,,,,
"4,1",YJU,D,Tag,f,b,,,,,,,,
4,4JU,D,Tag,f,b,,,,,,,,
"3,1",ZJU,D,Tag,f,b,,,,,,,,
3,3JU,D,Tag,f,b,,,,,,,,
1,1JU,D,Tag,f,b,,,,,,,,
2,2JU,D,Tag,f,b,,,,,,,,
0,0JU,D,Tag,f,b,,,,,,,,
"6,4,3,2",PKA,D,Gul,p,a,,,,,,,,
"6,4,3",QKA,D,Gul,p,a,,,,,,,,
"6,4,2",RKA,D,Gul,p,a,,,,,,,,
"6,4",UKA,D,Gul,p,a,,,,,,,,
"6,3,2",SKA,D,Gul,p,a,,,,,,,,
"6,3",VKA,D,Gul,p,a,,,,,,,,
"6,2",XKA,D,Gul,p,a,,,,,,,,
6,6KA,D,Gul,p,a,,,,,,,,
"4,3,2",TKA,D,Gul,p,a,,,,,,,,
"4,3",WKA,D,Gul,p,a,,,,,,,,
"4,2",YKA,D,Gul,p,a,,,,,,,,
4,4KA,D,Gul,p,a,,,,,,,,
"3,2",ZKA,D,Gul,p,a,,,,,,,,
3,3KA,D,Gul,p,a,,,,,,,,
2,2KA,D,Gul,p,a,,,,,,,,
1,1KA,D,Gul,p,a,,,,,,,,
0,0KA,D,Gul,p,a,,,,,,,,
"6,4,3,2",PKB,D,Gul,p,b,,,,,,,,
"6,4,3",QKB,D,Gul,p,b,,,,,,,,
"6,4,2",RKB,D,Gul,p,b,,,,,,,,
"6,4",UKB,D,Gul,p,b,,,,,,,,
"6,3,2",SKB,D,Gul,p,b,,,,,,,,
"6,3",VKB,D,Gul,p,b,,,,,,,,
"6,2",XKB,D,Gul,p,b,,,,,,,,
6,6KB,D,Gul,p,b,,,,,,,,
"4,3,2",TKB,D,Gul,p,b,,,,,,,,
"4,3",WKB,D,Gul,p,b,,,,,,,,
"4,2",YKB,D,Gul,p,b,,,,,,,,
4,4KB,D,Gul,p,b,,,,,,,,
"3,2",ZKB,D,Gul,p,b,,,,,,,,
3,3KB,D,Gul,p,b,,,,,,,,
2,2KB,D,Gul,p,b,,,,,,,,
1,1KB,D,Gul,p,b,,,,,,,,
0,0KB,D,Gul,p,b,,,,,,,,
"6,4,3,2",PLA,D,Gal,p,a,,,,,,,,
"6,4,3",QLA,D,Gal,p,a,,,,,,,,
"6,4,2",RLA,D,Gal,p,a,,,,,,,,
"6,4",ULA,D,Gal,p,a,,,,,,,,
"6,3,2",SLA,D,Gal,p,a,,,,,,,,
"6,3",VLA,D,Gal,p,a,,,,,,,,
"6,2",XLA,D,Gal,p,a,,,,,,,,
6,6LA,D,Gal,p,a,,,,,,,,
"4,3,2",TLA,D,Gal,p,a,,,,,,,,
"4,3",WLA,D,Gal,p,a,,,,,,,,
"4,2",YLA,D,Gal,p,a,,,,,,,,
4,4LA,D,Gal,p,a,,,,,,,,
"3,2",ZLA,D,Gal,p,a,,,,,,,,
3,3LA,D,Gal,p,a,,,,,,,,
2,2LA,D,Gal,p,a,,,,,,,,
1,1LA,D,Gal,p,a,,,,,,,,
0,0LA,D,Gal,p,a,,,,,,,,
"6,4,3,2",PLB,D,Gal,p,b,,,,,,,,
"6,4,3",QLB,D,Gal,p,b,,,,,,,,
"6,4,2",RLB,D,Gal,p,b,,,,,,,,
"6,4",ULB,D,Gal,p,b,,,,,,,,
"6,3,2",SLB,D,Gal,p,b,,,,,,,,
"6,3",VLB,D,Gal,p,b,,,,,,,,
"6,2",XLB,D,Gal,p,b,,,,,,,,
6,6LB,D,Gal,p,b,,,,,,,,
"4,3,2",TLB,D,Gal,p,b,,,,,,,,
"4,3",WLB,D,Gal,p,b,,,,,,,,
"4,2",YLB,D,Gal,p,b,,,,,,,,
4,4LB,D,Gal,p,b,,,,,,,,
"3,2",ZLB,D,Gal,p,b,,,,,,,,
3,3LB,D,Gal,p,b,,,,,,,,
2,2LB,D,Gal,p,b,,,,,,,,
1,1LB,D,Gal,p,b,,,,,,,,
0,0LB,D,Gal,p,b,,,,,,,,
"6,4,3,2",PMA,D,Man,p,a,,,,,,,,
"6,4,3",QMA,D,Man,p,a,,,,,,,,
"6,4,2",RMA,D,Man,p,a,,,,,,,,
"6,4",UMA,D,Man,p,a,,,,,,,,
"6,3,2",SMA,D,Man,p,a,,,,,,,,
"6,3",VMA,D,Man,p,a,,,,,,,,
"6,2",XMA,D,Man,p,a,,,,,,,,
6,6MA,D,Man,p,a,,,,,,,,
"4,3,2",TMA,D,Man,p,a,,,,,,,,
"4,3",WMA,D,Man,p,a,,,,,,,,
"4,2",YMA,D,Man,p,a,,,,,,,,
4,4MA,D,Man,p,a,,,,,,,,
"3,2",ZMA,D,Man,p,a,,,,,,,,
3,3MA,D,Man,p,a,,,,,,,,
2,2MA,D,Man,p,a,,,,,,,,
1,1MA,D,Man,p,a,,,,,,,,
0,0MA,D,Man,p,a,,,,,,,,
"6,4,3,2",PMB,D,Man,p,b,,,,,,,,
"6,4,3",QMB,D,Man,p,b,,,,,,,,
"6,4,2",RMB,D,Man,p,b,,,,,,,,
"6,4",UMB,D,Man,p,b,,,,,,,,
"6,3,2",SMB,D,Man,p,b,,,,,,,,
"6,3",VMB,D,Man,p,b,,,,,,,,
"6,2",XMB,D,Man,p,b,,,,,,,,
6,6MB,D,Man,p,b,,,,,,,,
"4,3,2",TMB,D,Man,p,b,,,,,,,,
